bin,raw_mean_predicted,raw_observed_default_rate,calibrated_mean_predicted,calibrated_observed_default_rate
1,0.08933802275665825,0.011380263371809462,0.013520224015800135,0.011380263371809462
2,0.15395038061877128,0.020162601626016262,0.018272182680572846,0.020162601626016262
3,0.20829523132406322,0.026178861788617887,0.023576884394784486,0.026178861788617887
4,0.26442543892202236,0.032520325203252036,0.030643139952082978,0.032520325203252036
5,0.3241220403222766,0.04194439928466916,0.040401058851934436,0.04194439928466916
6,0.38970119852208024,0.054634146341463415,0.05455170273793283,0.054634146341463415
7,0.46312005411428336,0.07235772357723577,0.07586649151825862,0.07235772357723577
8,0.5449976176977047,0.10878048780487805,0.10847482042614057,0.10878048780487805
9,0.6412081130910094,0.15284552845528454,0.16201006356662728,0.15284552845528454
10,0.7743978313702796,0.2864574865875467,0.2694172490067341,0.2864574865875467
