SK_ID_CURR,actual_default,raw_lgbm_score,calibrated_pd,calibrated_risk_band,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_CONTRACT_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,bureau_loans_count,bureau_credit_sum,bureau_credit_debt,bureau_overdue_sum,prev_apps_count,prev_refused_rate,prev_approved_rate,late_rate,avg_days_late,max_days_late,missed_payment_rate
396899,0,0.32896360004210795,0.04117810648337953,Low Risk,157500.0,770292.0,30676.5,Cash loans,Higher education,Married,House / apartment,Laborers,9.0,1258366.5,191374.56,0.0,4.0,0.0,0.75,0.0,0.0,-11.0,0.0
322041,0,0.4228667989441861,0.06311403187307683,Medium Risk,90000.0,364896.0,19926.0,Cash loans,Secondary / secondary special,Married,House / apartment,Laborers,1.0,81048.78,36573.66,0.0,10.0,0.2,0.6,0.15625,5.7,11.0,0.171875
220127,0,0.7224125133876167,0.2207037334887482,Very High Risk,148500.0,284400.0,18643.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Security staff,2.0,202365.0,0.0,0.0,3.0,0.0,0.6666666666666666,0.15,1.3333333333333333,2.0,0.1
251531,0,0.3755372869877537,0.05095466357816938,Medium Risk,188100.0,976711.5,38218.5,Cash loans,Higher education,Single / not married,House / apartment,Core staff,4.0,992592.0,362836.845,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
345558,0,0.6009223191097058,0.1365783524864816,High Risk,180000.0,323194.5,19660.5,Cash loans,Secondary / secondary special,Civil marriage,House / apartment,Laborers,4.0,557554.5,87084.0,0.0,2.0,0.0,1.0,0.06666666666666667,3.5,6.0,0.3
251419,0,0.6567618544847863,0.17131941089202132,High Risk,90000.0,318528.0,8532.0,Cash loans,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,11.0,1960200.0,784165.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433604,0,0.13467168767242355,0.016638605559256416,Low Risk,319500.0,1431000.0,39483.0,Cash loans,Higher education,Married,House / apartment,Managers,7.0,2201796.0,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334,0.017241379310344827,5.0,5.0,0.034482758620689655
268026,0,0.07081383012299874,0.012304720872313915,Low Risk,157500.0,382500.0,19125.0,Revolving loans,Secondary / secondary special,Married,House / apartment,0,3.0,437393.925,9495.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0
218614,0,0.815687032352666,0.30695285770696806,Very High Risk,112500.0,170640.0,13612.5,Cash loans,Secondary / secondary special,Separated,House / apartment,Medicine staff,4.0,803263.5,169830.0,0.0,4.0,0.5,0.5,0.10909090909090909,6.666666666666667,12.0,0.03636363636363636
394494,1,0.6162641306310492,0.1454857909238502,High Risk,202500.0,225000.0,11250.0,Revolving loans,Secondary / secondary special,Widow,House / apartment,0,22.0,4146306.3,559390.77,0.0,4.0,0.5,0.25,0.0,0.0,-4.0,0.0
