OCCUPATION_TYPE,applicants,actual_default_rate,avg_calibrated_pd,predicted_default_rate
Low-skill Laborers,397,0.1309823677581864,0.1602263788999976,0.6297229219143576
Drivers,3659,0.11587865537031976,0.10809197525341217,0.411861164252528
Waiters/barmen staff,302,0.10596026490066225,0.1068116342569285,0.40728476821192056
Security staff,1349,0.10971089696071164,0.10338879697185699,0.3810229799851742
Laborers,10927,0.10808090052164364,0.10305630294932111,0.3826301821176901
Cooking staff,1179,0.10178117048346055,0.09966651888970852,0.3604749787955895
Sales staff,6496,0.09759852216748768,0.09394231960081868,0.3457512315270936
Cleaning staff,912,0.09868421052631579,0.08634098960469419,0.29714912280701755
Realty agents,157,0.07006369426751592,0.08066446420963896,0.28662420382165604
IT staff,102,0.0784313725490196,0.07869784370237132,0.2647058823529412
Private service staff,558,0.06630824372759857,0.07303285705884693,0.25089605734767023
Medicine staff,1666,0.055222088835534214,0.07100609642340636,0.22388955582232895
Secretaries,258,0.06589147286821706,0.06602762667895903,0.2248062015503876
0,19451,0.0659606189913115,0.0653309835819649,0.19839596935890186
High skill tech staff,2287,0.05684302579798863,0.06471426173056986,0.20201136860515959
Core staff,5477,0.05988679934270586,0.06388430297025052,0.1944495161584809
Managers,4275,0.061754385964912284,0.06137947927130907,0.1864327485380117
HR staff,120,0.041666666666666664,0.055780869958364246,0.16666666666666666
Accountants,1931,0.056447436561367165,0.05296688832132132,0.13464526152252718
